,city,aqi,date,iaqi_h,iaqi_p,iaqi_pm10,iaqi_t,o3_avg,o3_max,o3_min,pm10_avg,pm10_max,pm10_min,pm25_avg,pm25_max,pm25_min
0,Beijing,35,1670976000000,18.0,1033.0,35,-6.0,3,17,1,29,46,7,93,138,30
1,Kyiv,5,1666137600000,88.23,1017.6,2,14.9,21,29,12,16,19,10,54,64,34
2,Tokyo,69,1670976000000,99.3,1004.6,69,7.2,6,14,1,16,23,9,54,67,30
3,Kyoto,61,1670976000000,63.7,1013.5,17,10.0,8,18,1,11,17,1,28,45,13
4,Kobe,80,1670976000000,54.0,1015.0,51,13.0,9,18,1,13,19,1,40,56,14
5,Osaka,80,1670976000000,50.0,1014.0,43,11.0,7,17,1,15,19,1,46,65,13
6,Malmo,18,1670889600000,69.5,1005.3,12,-2.0,21,27,15,10,21,4,30,66,8
7,Yokohama,38,1670976000000,89.0,1006.0,11,9.0,6,13,1,14,19,10,45,61,30
8,Hiroshima,76,1670976000000,39.0,1010.8,34,10.7,10,18,4,15,19,7,19,21,13
9,Sapporo,38,1670976000000,81.0,998.2,14,1.4,16,17,15,1,1,1,4,13,1
10,Nagasaki,68,1670976000000,47.2,1016.6,24,13.0,16,18,14,17,19,10,37,42,21
